article_id,article_global_id,db_id
2746,10.1093/nar/gkt1093,MBDC1306
2725,10.1093/nar/gkt1092,MBDC0071
2764,10.1093/nar/gkt1087,MBDC1679
2585,10.1093/nar/gkt1086,MBDC1731
2745,10.1093/nar/gkt1085,MBDC1713
2674,10.1093/nar/gkt1084,MBDC1688
2651,10.1093/nar/gkt1083,MBDC1747
2699,10.1093/nar/gkt1082,MBDC0002
2695,10.1093/nar/gkt1081,MBDC1458
2613,10.1093/nar/gkt1079,MBDC1364
2704,10.1093/nar/gkt1078,MBDC1698
2685,10.1093/nar/gkt1076,MBDC0112
2636,10.1093/nar/gkt1073,MBDC1718
2594,10.1093/nar/gkt1072,MBDC1743
2606,10.1093/nar/gkt1069,NAR9148
2648,10.1093/nar/gkt1068,MBDC0811
2760,10.1093/nar/gkt1067,MBDC1362
2738,10.1093/nar/gkt1066,MBDC0001
2642,10.1093/nar/gkt1065,MBDC1517
2652,10.1093/nar/gkt1064,MBDC1745
2683,10.1093/nar/gkt1063,MBDC0051
2615,10.1093/nar/gkt1062,MBDC1682
2647,10.1093/nar/gkt1061,MBDC1421
2611,10.1093/nar/gkt1060,MBDC1295
2750,10.1093/nar/gkt1059,MBDC0911
2638,10.1093/nar/gkt1058,MBDC1694
2741,10.1093/nar/gkt1057,NAR9200
2710,10.1093/nar/gkt1056,MBDC1741
2763,10.1093/nar/gkt1055,MBDC0875
2626,10.1093/nar/gkt1052,MBDC1722
2694,10.1093/nar/gkt1048,MBDC1250
2601,10.1093/nar/gkt1047,MBDC0187
2619,10.1093/nar/gkt1046,MBDC0645
2722,10.1093/nar/gkt1045,MBDC1131
2698,10.1093/nar/gkt1044,MBDC1714
2747,10.1093/nar/gkt1043,MBDC1748
2752,10.1093/nar/gkt1036,MBDC1675
2617,10.1093/nar/gkt1035,MBDC1715
2702,10.1093/nar/gkt1031,MBDC1548
2706,10.1093/nar/gkt1030,MBDC0003
2643,10.1093/nar/gkt1029,MBDC1359
2681,10.1093/nar/gkt1028,MBDC0958
2734,10.1093/nar/gkt1027,MBDC1119
2603,10.1093/nar/gkt1026,MBDC1692
2634,10.1093/nar/gkt1025,MBDC1911
2590,10.1093/nar/gkt1023,MBDC1680
2767,10.1093/nar/gkt1016,MBDC1117
2641,10.1093/nar/gkt1015,MBDC0792
2657,10.1093/nar/gkt1014,MBDC1685
2665,10.1093/nar/gkt1012,MBDC1078
2687,10.1093/nar/gkt1010,MBDC1494
2618,10.1093/nar/gkt1008,MBDC1686
2591,10.1093/nar/gkt1007,MBDC1702
2740,10.1093/nar/gkt1002,MBDC1563
2670,10.1093/nar/gkt1000,MBDC1742
2461,10.1093/nar/gks999,MBDC1593
2406,10.1093/nar/gks998,MBDC1604
2427,10.1093/nar/gks997,MBDC1592
2570,10.1093/nar/gks994,MBDC1188
2440,10.1093/nar/gks993,MBDC1627
2462,10.1093/nar/gks992,MBDC1628
2538,10.1093/nar/gks991,MBDC1603
2419,10.1093/nar/gks990,MBDC1664
2543,10.1093/nar/gks987,MBDC1611
2421,10.1093/nar/gks984,MBDC1619
2466,10.1093/nar/gks969,MBDC1591
2468,10.1093/nar/gks966,MBDC1651
2447,10.1093/nar/gks961,MBDC1673
2552,10.1093/nar/gks960,MBDC1737
2472,10.1093/nar/gks955,MBDC1425
2512,10.1093/nar/gks949,MBDC0173
2494,10.1093/nar/gks946,MBDC1640
2498,10.1093/nar/gks938,MBDC0101
2530,10.1093/nar/gks937,MBDC1644
2450,10.1093/nar/gks936,MBDC1605
2484,10.1093/nar/gks935,MBDC1578
2501,10.1093/nar/gks915,MBDC1599
2515,10.1093/nar/gks886,MBDC1647
2453,10.1093/nar/gks835,MBDC1577
2428,10.1093/nar/gks1297,NAR9161
2518,10.1093/nar/gks1279,MBDC1663
2550,10.1093/nar/gks1268,MBDC1638
2459,10.1093/nar/gks1266,MBDC1614
2517,10.1093/nar/gks1265,MBDC1585
2574,10.1093/nar/gks1264,MBDC1597
2414,10.1093/nar/gks1263,MBDC1586
2469,10.1093/nar/gks1262,MBDC0857
2436,10.1093/nar/gks1258,MBDC1615
2557,10.1093/nar/gks1257,MBDC1649
2548,10.1093/nar/gks1253,MBDC1655
2451,10.1093/nar/gks1248,MBDC1576
2409,10.1093/nar/gks1246,MBDC1598
2581,10.1093/nar/gks1245,MBDC0685
2481,10.1093/nar/gks1244,MBDC1617
2493,10.1093/nar/gks1243,MBDC0204
2496,10.1093/nar/gks1241,MBDC1573
2564,10.1093/nar/gks1239,MBDC0112
2413,10.1093/nar/gks1238,MBDC1601
2532,10.1093/nar/gks1236,MBDC0027
2454,10.1093/nar/gks1235,MBDC0069
2534,10.1093/nar/gks1234,MBDC0199
2534,10.1093/nar/gks1234,NAR9103
2473,10.1093/nar/gks1233,MBDC0033
2411,10.1093/nar/gks1231,MBDC1632
